+-----------+------------------+---------------+
| client_id | activation_count | license_count |
+-----------+------------------+---------------+
|        41 |               32 |            22 |
|       216 |                4 |             1 |
|       235 |                6 |             1 |
|       297 |                5 |             3 |
|       302 |               80 |             1 |
|       370 |                4 |             3 |
|       453 |                5 |             1 |
|       471 |                5 |             4 |
|       495 |                3 |             1 |
|       540 |               15 |            13 |
|       681 |                9 |             2 |
|       690 |               14 |             7 |
|       730 |                2 |             1 |
|       751 |                5 |             3 |
|       850 |                4 |             2 |
|       895 |                4 |             1 |
|       927 |                6 |             3 |
|      1038 |                3 |             2 |
|      1171 |                2 |             1 |
|      1202 |               11 |             9 |
|      1291 |                4 |             1 |
|      1301 |                3 |             1 |
|      1372 |                3 |             2 |
|      1407 |                2 |             1 |
|      1509 |                5 |             4 |
|      1754 |               11 |             6 |
|      1758 |                3 |             2 |
|      1778 |                3 |             2 |
|      1803 |                4 |             3 |
|      1810 |                5 |             4 |
|      1837 |                7 |             6 |
|      1858 |                3 |             1 |
|      1911 |               16 |            15 |
|      1925 |                3 |             1 |
|      1966 |                4 |             3 |
|      2073 |                2 |             1 |
|      2135 |                5 |             2 |
|    100019 |                4 |             3 |
|    100172 |                4 |             2 |
|    100197 |                3 |             2 |
|    100199 |                3 |             1 |
|    100209 |                5 |             4 |
|    100248 |               18 |            15 |
|    100306 |                3 |             2 |
|    100313 |                4 |             3 |
|    100342 |                8 |             6 |
|    100354 |                5 |             3 |
|    100366 |                3 |             1 |
|    100367 |                5 |             4 |
|    100406 |                9 |             2 |
|    100413 |               14 |            10 |
|    100414 |               15 |            14 |
|    100421 |                5 |             2 |
|    100422 |                2 |             1 |
|    100433 |                4 |             2 |
|    100446 |                3 |             1 |
|    100451 |                3 |             2 |
|    100499 |                8 |             7 |
|    100507 |                2 |             1 |
|    100518 |                6 |             3 |
|    100545 |               13 |            10 |
|    100583 |                3 |             2 |
|    100686 |                4 |             3 |
|    100732 |                3 |             1 |
|    100770 |                7 |             1 |
|    100825 |               10 |             8 |
|    100832 |                3 |             1 |
|    100903 |                6 |             2 |
|    100926 |                8 |             1 |
|    100931 |                2 |             1 |
|    100974 |                5 |             2 |
|    101008 |               15 |             3 |
|    101055 |                4 |             1 |
|    101077 |               11 |            10 |
|    101097 |                2 |             1 |
|    101102 |                3 |             1 |
|    101132 |                2 |             1 |
|    101174 |                2 |             1 |
|    101189 |               11 |             6 |
|    101209 |                3 |             1 |
|    101256 |                4 |             3 |
|    101272 |                5 |             3 |
|    101288 |                4 |             1 |
|    101294 |                2 |             1 |
|    101296 |                2 |             1 |
|    101311 |                5 |             4 |
|    101326 |                2 |             1 |
|    101489 |                8 |             7 |
|    101522 |                4 |             3 |
|    101672 |                3 |             1 |
|    101696 |               28 |             7 |
|    101726 |                2 |             1 |
|    101756 |                3 |             2 |
|    101877 |               18 |             1 |
+-----------+------------------+---------------+
